,,true_att,false_att,true_AM,false_AM,true_VM,false_VM,true_AM_arch,false_AM_arch,true_VM_arch,false_VM_arch
0,0,297206,1077414,297206,1077414,423166,951454,401541,973079,675086,699534
0,1,269680,1039404,269680,1039404,395640,913444,364184,944900,647560,661524
0,2,269027,975766,269027,975766,394987,849806,374672,870121,646907,597886
0,3,273614,969934,273614,969934,399574,843974,349113,894435,651494,592054
1,0,268370,909642,268370,909642,394330,783682,345179,832833,646250,531762
1,1,260506,1048578,260506,1048578,386466,922618,374015,935069,638386,670698
1,2,269026,876219,269026,876219,394986,750259,342558,802687,646906,498339
1,3,190972,922093,190972,922093,316932,796133,312345,800720,568852,544213
1,4,272957,1036127,272957,1036127,398917,910167,351076,958008,650837,658247
1,5,250675,1060308,250675,1060308,376635,934348,370738,940245,628555,682428
